;lemmantized_reviews
0;['premium', 'cottage', 'renovate', 'ring', 'park', 'mean', 'dome', 'shop', 'minute', 'walkcheck', 'app', 'go', 'pretty', 'fast', 'youu201dll', 'get', 'park', 'card', 'car', 'park', 'near', 'cottage', 'wifi', 'whole', 'week', 'long', 'walk', 'rent', 'golfcar', '230u20ac', 'whole', 'week', 'facility', 'okay', 'nothing', 'nothing', 'le', 'price', 'little', 'high', 'thats', 'center', 'parcs', 'animation', 'outside', 'kid', 'kinda', 'sad', 'even', 'though', 'month', 'september', 'need', 'entertain', 'kid', 'pool', 'great', 'many', 'slide', 'around', 'huge', 'kiddypool', 'todlers', 'time', 'restaurant', 'kinda', 'weird', 'close', 'earlyso', 'park', 'okay']
1;['nice', 'environment', 'peaceful', 'facility', 'baby', 'exception', 'bed', 'house', 'wasnt', 'clean', 'arrive', 'though', 'option', 'eat', 'well', 'sight', 'around', 'park', 'severely', 'limit']
2;['expectation', 'high', 'read', 'review', 'well', 'center', 'parcs', 'could', 'money', 'spend', 'itu2019s', 'bite', 'tire', 'thatu2019s', 'probably', 'itu2019s', 'cheap', 'good', 'one', 'east', 'paris', 'swim', 'pool', 'good', 'always', 'local', 'town', 'pretty', 'cycle', 'route', 'thru', 'forest', 'lovely', 'accommodation', 'thing', 'parc', 'bite', 'tire', 'fray', 'around', 'edge']
3;['quite', 'center', 'parcs', 'france', 'one', 'normandy', 'old', 'france', 'show', 'maintenance', 'poor', 'example', 'least', 'half', 'shower', 'come', 'tropical', 'waterworld', 'work', 'clearly', 'work', 'month', 'glass', 'door', 'pool', 'break', 'recent', 'temperature', 'water', 'pool', 'air', 'temperature', 'positively', 'cold', 'air', 'degree', 'mean', 'plus', 'water', 'well', 'advertise', 'temperature', 'fact', 'freeze', 'especially', 'wild', 'river', 'go', 'outside', 'go', 'xmas', 'time', 'ask', 'various', 'life', 'guard', 'wear', 'light', 'fleece', 'wet', 'swimsuit', 'therefore', 'freeze', 'boiler', 'break', 'last', '34', 'day', 'first', 'time', 'happen', 'resort', 'amaze', 'engineer', 'could', 'fix', 'xmas', 'holiday', 'nothing', 'wrong', 'except', 'parc', 'full', 'customer', 'pay', 'lot', 'money', 'management', 'doesnt', 'another', 'engineer', 'fix', 'even', 'though', 'management', 'know', 'break', 'boiler', 'notice', 'excuse', 'thing', 'could', 'change', 'water', 'night', 'time', 'keep', 'temperature', 'could', 'clean', 'filter', 'result', 'fantastic', 'say', 'fume', 'understatement', 'mean', 'treat', 'family', 'go', 'day', 'guest', 'tropical', 'world', 'mean', 'close', '2200', 'accord', 'website', 'actually', 'close', '2045', 'rest', 'assure', 'want', 'complain', 'anyone', 'management', 'reception', 'close', '1800', 'appal', 'management', 'poor', 'non', 'existent', 'concept', 'good', 'first', 'open', 'year', 'ago', 'honestly', 'overprice', 'offer', 'might', 'well', 'sunshine', 'everything', 'include', 'pay', 'every', 'activity', 'example', 'u20ac9', 'adult', 'little', 'crazy', 'golf', 'token', 'cost', 'u20ac150', 'trampoline', 'snooker', 'etc', 'go', 'kid', 'really', 'expensive', 'frustrate', 'holiday', 'dont', 'bother']
4;['new', 'year', 'trip', 'family', 'stay', 'week', 'bad', 'point', 'outdated', 'cottage', 'socalled', 'quot', 'premium', 'quot', 'accommodation', 'water', 'temperature', 'warm', 'enough', 'change', 'room', 'freeze', 'enough', 'shower', 'pool', 'area', 'several', 'shower', 'break', 'car', 'park', 'overcrowd', 'park', 'pool', 'poorly', 'light', 'night', 'oven', 'kitchen', 'storage', 'space', 'food', 'kitchen', 'water', 'pressure', 'shower', 'wash', 'machine', 'site', 'free', 'wifi', 'minisculegood', 'point', 'bed', 'comfortable', 'cottage', 'quite', 'spacious']
5;['visit', 'different', 'centre', 'park', 'last', 'year', 'netherlands', 'fantastic', 'decide', 'france', 'year', 'kid', 'could', 'omaha', 'beach', 'etc', 'decide', 'book', 'centre', 'park', 'le', 'bois', 'stay', 'day', 'monfriday', 'check', 'fine', 'entrance', 'car', 'lodge', 'stay', 'average', 'fridge', 'sink', 'microwave', 'smelt', 'go', 'day', 'didnu2019t', 'use', 'facility', 'much', 'day', 'find', 'staff', 'quite', 'rude', 'didnu2019t', 'give', 'time', 'day', 'literally', 'husband', 'wait', 'daughter', 'ask', 'staff', 'member', 'time', 'reply', 'erm', 'didnu2019t', 'even', 'attempt', 'try', 'find', 'might', 'sound', 'little', 'petty', 'one', 'many', 'book', 'activity', 'ask', 'tennis', 'court', 'tell', 'turn', 'right', 'turn', 'right', 'find', 'eventually', 'help', 'staff', 'go', 'spa', 'book', 'tell', 'couldnu2019t', 'son', 'need', 'staff', 'rude', 'helpful', 'could', 'also', 'bike', 'path', 'chaotic', 'couldnu2019t', 'walk', 'anywhere', 'without', 'nearly', 'run', 'abuse', 'french', 'place', 'would', 'back', 'place', 'visit', 'stun', 'centre', 'park', 'wasnu2019t']
6;['read', 'review', 'sceptical', 'parc', 'however', 'pleasantly', 'surprise', 'visit', 'center', 'parcs', 'lot', 'high', 'standard', 'standard', 'itu2019s', 'bad', 'check', 'unorganised', 'able', 'get', 'lodge', '2pm', 'instead', 'lodge', 'refurbish', 'clean', 'bed', 'comfortable', 'kitchen', 'area', 'tiny', 'bear', 'mind', 'oven', 'take', 'disposable', 'bbqu2019s', 'use', 'supermarket', 'site', 'quite', 'limit', 'huge', 'supermarket', 'min', 'drive', 'away', 'aqua', 'mundo', 'great', 'however', 'go', 'one', 'even', 'quite', 'happy', 'relax', 'solarium', 'area', 'employee', 'come', 'turn', 'light', 'warn', 'nothing', 'toilet', 'pool', 'disgust', 'itu2019s', 'like', 'people', 'pee', 'floor', 'smell', 'awful', 'generally', 'quite', 'dirty', 'need', 'attention', 'flume', 'rid', 'ace', 'though', 'didnu2019t', 'use', 'food', 'area', 'look', 'like', 'fast', 'food', 'type', 'place', 'isnu2019t', 'thing', 'canu2019t', 'comment', 'site', 'lot', 'area', 'explore', 'outside', 'bike', 'load', 'cycle', 'path', 'fantastic', 'bite', 'much', 'good', 'dog', 'site', 'thatu2019s', 'fine', 'area', 'exercise', 'really', 'quite', 'small', 'unfortunately', 'quite', 'smell', 'dog', 'poo', 'little', 'deposit', 'around', 'site', 'overall', 'itu2019s', 'worth', 'visit', 'itu2019s', 'incredibly', 'reasonable', 'compare', 'price', 'good', 'use', 'base', 'explore', 'france']
7;['anyone', 'look', 'book', 'center', 'parc', 'would', 'give', 'follow', 'advice', 'make', 'sure', 'book', 'refurbish', 'villa', 'check', 'preliminary', 'bookingcheck', 'see', 'villa', 'oven', 'villa', 'microwave', 'electric', 'hob', 'limit', 'option', 'certain', 'degree', 'check', 'make', 'sure', 'check', 'get', 'digit', 'wifi', 'connection', 'code', 'prebooked', 'however', 'give', 'check', 'restaurant', 'onsite', 'poor', 'choice', 'limit', 'food', 'basic', 'expensive', 'go', 'u2018italianu2019', 'restaurant', 'one', 'night', 'spend', 'u20ac37', 'pasta', 'dish', 'quite', 'frankly', 'poor', 'qualitycheck', 'position', 'villa', 'relative', 'main', 'dome', 'dome', 'restaurant', 'bar', 'bowl', 'soft', 'play', 'etc', 'bike', 'hire', 'around', 'u20ac60', 'bike', 'week', 'necessary', 'villa', 'far', 'domethe', 'u2018mini', 'farmu2019', 'laughable', 'itu2019s', 'chicken', 'coup', 'one', 'rabbit', 'fence', 'areabowling', 'around', 'u20ac32', 'hour', 'facility', 'need', 'facelifton', 'plus', 'side', 'site', 'beautiful', 'nestle', 'forest', 'itu2019s', 'clean', 'quiet', 'easy', 'get', 'around', 'staff', 'fairly', 'helpful', 'basic', 'french', 'speaker', 'get', 'situation']
8;['unfortunately', 'experience', 'totally', 'let', 'cottage', 'extremely', 'poorly', 'maintain', 'hole', 'door', 'bath', 'wall', 'huge', 'crack', 'plaster', 'work', 'squash', 'fly', 'every', 'surface', 'dirty', 'floor', 'room', 'cleanliness', 'horrendousthe', 'pool', 'area', 'bike', 'rental', 'efficient', 'child', 'enjoy', 'experience']
9;['enjoyable', 'stay', 'village', 'look', 'tire', 'year', 'contractor', 'currently', 'park', 'refurbish', 'detract', 'great', 'holiday', 'go', 'every', 'day', 'explore', 'area', 'include', 'monet', 'home', 'amp', 'garden', 'nice', 'aquamondo', 'recommend', 'pizza', 'delivery', 'service']
